timestep,x_cm,y_cm,z_cm,yaw_deg,teleport_flag,throttle_cmd,steering_cmd,cmd_move_cm,cmd_turn_deg,lidar_cm_0,lidar_cm_1,lidar_cm_2,lidar_cm_3,lidar_cm_4,lidar_cm_5,lidar_cm_6,lidar_cm_7,lidar_cm_8,lidar_cm_9,lidar_cm_10,lidar_cm_11,lidar_cm_12,lidar_cm_13,lidar_cm_14,lidar_cm_15,lidar_cm_16,lidar_class_0,lidar_class_1,lidar_class_2,lidar_class_3,lidar_class_4,lidar_class_5,lidar_class_6,lidar_class_7,lidar_class_8,lidar_class_9,lidar_class_10,lidar_class_11,lidar_class_12,lidar_class_13,lidar_class_14,lidar_class_15,lidar_class_16
0,6442.763,16238.428,68.837,177.602,1,-0.08000,0.12000,-9.600,1.080,850.000,375.000,-1,400.000,-1,325.000,325.000,275.000,325.000,-1,800.000,850.000,-1,675.000,800.000,-1,-1,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2
2,6490.739,16239.520,65.908,182.332,0,-0.24000,0.28548,-28.800,2.569,875.000,375.000,-1,400.000,-1,325.000,325.000,275.000,325.000,-1,800.000,875.000,-1,650.000,775.000,-1,-1,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2
4,6558.412,16246.855,62.383,187.471,0,-0.28369,0.28548,-34.043,2.569,975.000,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,775.000,875.000,-1,650.000,775.000,-1,-1,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2
6,6625.156,16260.222,59.472,192.609,0,-0.28369,0.28548,-34.043,2.569,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,750.000,925.000,-1,675.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2
8,6690.434,16279.512,57.127,197.748,0,-0.28369,0.28548,-34.043,2.569,-1,400.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,725.000,-1,-1,700.000,775.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,2,2,0,0,2,2
10,6753.722,16304.573,55.302,202.887,0,-0.28369,0.28548,-34.043,2.569,-1,400.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,725.000,-1,-1,725.000,775.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,2,2,0,0,2,2
12,6822.593,16340.434,53.860,209.105,0,-0.36369,0.40548,-43.643,3.649,-1,425.000,-1,400.000,-1,350.000,350.000,300.000,300.000,975.000,775.000,-1,-1,775.000,800.000,-1,-1,2,0,2,0,2,0,0,0,0,0,0,2,2,0,0,2,2
14,6910.003,16403.577,53.463,218.050,0,-0.45559,0.49693,-54.671,4.472,-1,400.000,-1,400.000,-1,325.000,325.000,300.000,275.000,-1,-1,-1,-1,775.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
16,6987.585,16480.509,55.526,226.995,0,-0.45559,0.49693,-54.671,4.472,-1,400.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,800.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
18,7052.263,16568.567,59.087,235.940,0,-0.45559,0.49693,-54.671,4.472,-1,400.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,850.000,800.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
20,7102.462,16665.610,64.088,244.884,0,-0.45559,0.49693,-54.671,4.472,-1,400.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,850.000,800.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
22,7136.962,16769.279,68.708,253.829,0,-0.45559,0.49693,-54.671,4.472,-1,475.000,-1,475.000,-1,375.000,375.000,300.000,300.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
24,7154.925,16877.051,72.074,262.774,0,-0.45559,0.49693,-54.671,4.472,-1,450.000,-1,450.000,-1,375.000,375.000,300.000,300.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
26,7155.912,16986.305,76.544,271.718,0,-0.45559,0.49693,-54.671,4.472,-1,450.000,-1,450.000,-1,350.000,350.000,300.000,300.000,-1,-1,-1,-1,1000.000,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,2,2,2
28,7139.900,17094.383,81.878,280.663,0,-0.45559,0.49693,-54.671,4.472,-1,425.000,-1,425.000,-1,350.000,350.000,300.000,300.000,-1,-1,-1,-1,825.000,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,2,2,2
30,7107.279,17198.658,87.824,289.608,0,-0.45559,0.49693,-54.671,4.472,-1,425.000,-1,425.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,800.000,975.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
32,7058.841,17296.593,94.130,298.553,0,-0.45559,0.49693,-54.671,4.472,-1,400.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,775.000,925.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
34,6995.766,17385.806,100.390,307.497,0,-0.45559,0.49693,-54.671,4.472,-1,475.000,-1,525.000,-1,375.000,400.000,275.000,350.000,-1,-1,-1,-1,950.000,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,2,2,2
36,6919.587,17464.127,102.826,316.442,0,-0.45559,0.49693,-54.671,4.472,-1,450.000,-1,500.000,-1,375.000,375.000,275.000,350.000,-1,-1,-1,-1,925.000,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,2,2,2
38,6832.157,17529.650,102.852,325.387,0,-0.45559,0.49693,-54.671,4.472,-1,525.000,-1,575.000,-1,425.000,425.000,325.000,300.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
40,6744.630,17577.387,100.872,333.251,0,-0.37559,0.37693,-45.071,3.392,-1,500.000,-1,575.000,-1,400.000,425.000,300.000,300.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
42,6688.548,17602.230,99.334,336.854,0,-0.21559,0.14340,-25.871,1.291,-1,500.000,-1,575.000,-1,400.000,425.000,275.000,325.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
44,6667.201,17610.630,98.710,339.436,0,-0.05559,0.14340,-6.671,1.291,-1,475.000,-1,575.000,-1,400.000,400.000,275.000,325.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
46,6681.883,17605.795,99.108,342.017,0,0.10441,0.14340,12.529,1.291,-1,475.000,-1,550.000,-1,400.000,400.000,275.000,325.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
48,6733.669,17591.012,100.308,344.598,0,0.26441,0.14340,31.729,1.291,-1,475.000,-1,550.000,-1,400.000,400.000,275.000,325.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
50,6804.551,17573.313,101.612,346.099,0,0.26441,0.02340,31.729,0.211,-1,475.000,-1,550.000,-1,400.000,400.000,300.000,325.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
52,6837.948,17564.067,102.148,343.280,0,0.10441,-0.21660,12.529,-1.949,-1,500.000,-1,575.000,-1,400.000,425.000,300.000,325.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
54,6834.604,17565.775,102.080,336.142,0,-0.05559,-0.45660,-6.671,-4.109,-1,500.000,-1,575.000,-1,400.000,425.000,300.000,325.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
56,6799.270,17588.631,101.163,324.683,0,-0.21559,-0.69660,-25.871,-6.269,-1,525.000,-1,575.000,-1,425.000,425.000,325.000,300.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
58,6744.615,17647.527,98.647,309.343,0,-0.37559,-0.88783,-45.071,-7.990,-1,550.000,-1,550.000,-1,425.000,425.000,325.000,275.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
60,6693.262,17747.248,93.971,293.362,0,-0.48140,-0.88783,-57.768,-7.990,-1,550.000,-1,475.000,-1,400.000,375.000,350.000,275.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
62,6670.527,17860.239,88.789,277.381,0,-0.48140,-0.88783,-57.768,-7.990,-1,500.000,-1,400.000,-1,350.000,325.000,375.000,275.000,-1,475.000,-1,-1,-1,775.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,2,2,2,0,2,2
64,6673.734,17946.805,85.498,264.640,0,-0.32140,-0.64783,-38.568,-5.830,-1,450.000,-1,350.000,700.000,325.000,300.000,400.000,300.000,-1,250.000,350.000,-1,-1,625.000,-1,1000.000,2,0,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0
66,6683.433,17994.135,84.177,256.220,0,-0.16140,-0.40783,-19.368,-3.670,-1,400.000,-1,325.000,550.000,300.000,300.000,425.000,300.000,-1,250.000,275.000,-1,-1,575.000,-1,700.000,2,0,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0
68,6686.238,18003.667,83.973,252.119,0,-0.00140,-0.16783,-0.168,-1.510,-1,400.000,-1,325.000,550.000,300.000,275.000,425.000,300.000,-1,375.000,275.000,-1,925.000,550.000,-1,625.000,2,0,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0
70,6677.500,17976.578,84.528,252.338,0,0.15860,0.07217,19.032,0.650,-1,400.000,-1,325.000,550.000,300.000,275.000,425.000,300.000,-1,300.000,250.000,-1,950.000,550.000,-1,650.000,2,0,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0
72,6660.960,17911.813,86.276,256.877,0,0.31860,0.31217,38.232,2.810,-1,425.000,-1,350.000,600.000,325.000,300.000,400.000,300.000,-1,200.000,275.000,-1,-1,600.000,-1,825.000,2,0,2,0,0,0,0,0,0,2,0,0,2,2,0,2,0
74,6649.015,17807.329,90.130,265.736,0,0.47860,0.55217,57.432,4.970,-1,475.000,-1,375.000,900.000,350.000,325.000,375.000,300.000,-1,275.000,425.000,-1,-1,650.000,-1,-1,2,0,2,0,0,0,0,0,0,2,0,0,2,2,0,2,2
76,6662.979,17664.624,96.455,278.915,0,0.63860,0.79217,76.632,7.130,-1,550.000,-1,425.000,-1,400.000,375.000,350.000,275.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
78,6730.568,17496.174,103.433,296.125,0,0.79860,1.00000,95.832,9.000,-1,575.000,-1,525.000,-1,425.000,425.000,325.000,275.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
80,6871.317,17327.368,103.849,314.125,0,0.95860,1.00000,115.032,9.000,-1,475.000,-1,450.000,-1,375.000,350.000,375.000,250.000,-1,-1,-1,-1,975.000,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,2,2,2
82,7067.352,17203.079,90.034,332.125,0,0.97014,1.00000,116.417,9.000,-1,400.000,-1,400.000,-1,325.000,325.000,325.000,300.000,-1,-1,-1,-1,725.000,775.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
84,7292.200,17145.451,76.015,350.125,0,0.97014,1.00000,116.417,9.000,-1,375.000,-1,375.000,-1,300.000,300.000,325.000,325.000,-1,-1,-1,-1,725.000,700.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
86,7523.852,17160.126,64.645,368.125,0,0.97014,1.00000,116.417,9.000,-1,375.000,-1,375.000,-1,325.000,300.000,350.000,300.000,-1,-1,825.000,-1,675.000,675.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,0,2,0,0,2,2
88,7731.011,17241.440,59.243,386.125,0,0.89014,1.00000,106.817,9.000,-1,350.000,-1,375.000,-1,300.000,300.000,325.000,300.000,-1,725.000,725.000,-1,625.000,675.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2
90,7874.351,17359.279,57.557,404.125,0,0.74097,1.00000,88.916,9.000,-1,325.000,-1,325.000,-1,275.000,275.000,325.000,300.000,-1,-1,-1,-1,550.000,575.000,975.000,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,0,2
