timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag,throttle_cmd,steering_cmd,cmd_move_cm,cmd_turn_deg,lidar_cm_0,lidar_cm_1,lidar_cm_2,lidar_cm_3,lidar_cm_4,lidar_cm_5,lidar_cm_6,lidar_cm_7,lidar_cm_8,lidar_cm_9,lidar_cm_10,lidar_cm_11,lidar_cm_12,lidar_cm_13,lidar_cm_14,lidar_cm_15,lidar_cm_16,lidar_class_0,lidar_class_1,lidar_class_2,lidar_class_3,lidar_class_4,lidar_class_5,lidar_class_6,lidar_class_7,lidar_class_8,lidar_class_9,lidar_class_10,lidar_class_11,lidar_class_12,lidar_class_13,lidar_class_14,lidar_class_15,lidar_class_16
0,-2295.587,2951.935,-209.013,-36.149,0.806794,0.575971,-0.131685,-0.590810,0.788439,-0.171191,0.005225,0.215917,0.976398,1,0.00000,0.00000,4.800,-0.240,-1,375.000,-1,450.000,675.000,325.000,350.000,325.000,225.000,-1,-1,-1,450.000,-1,800.000,-1,-1,2,1,2,1,0,1,1,1,0,2,2,2,0,2,0,2,2
1,7544.642,2947.110,-158.060,-72.785,0.296142,0.955114,0.007527,-0.954982,0.295938,0.020737,0.017578,-0.013330,0.999757,1,0.08000,0.12000,4.800,0.240,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,725.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
2,7547.560,2937.964,-157.887,-72.305,0.304133,0.952601,0.007444,-0.952468,0.303928,0.020774,0.017527,-0.013408,0.999756,0,0.16000,0.24000,9.600,0.480,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,725.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
3,7552.107,2924.301,-157.628,-71.593,0.315947,0.948748,0.007318,-0.948616,0.315743,0.020831,0.017453,-0.013524,0.999756,0,0.24000,0.35602,14.400,0.712,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,725.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
4,7558.395,2906.160,-157.284,-70.881,0.327713,0.944750,0.007139,-0.944617,0.327508,0.020911,0.017418,-0.013597,0.999756,0,0.32000,0.35602,19.200,0.712,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,725.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
5,7566.538,2883.583,-156.856,-70.169,0.339427,0.940607,0.006906,-0.940471,0.339223,0.021017,0.017426,-0.013628,0.999755,0,0.40000,0.35602,24.000,0.712,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,725.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
6,7576.644,2856.615,-156.342,-69.456,0.351088,0.936319,0.006616,-0.936179,0.350886,0.021151,0.017483,-0.013620,0.999754,0,0.48000,0.35602,28.800,0.712,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,725.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
7,7588.825,2825.300,-155.743,-68.744,0.362695,0.931887,0.006268,-0.931742,0.362495,0.021317,0.017593,-0.013571,0.999753,0,0.56000,0.35602,33.600,0.712,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,725.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
8,7602.527,2791.331,-155.089,-68.032,0.374246,0.927311,0.005878,-0.927160,0.374049,0.021510,0.017748,-0.013500,0.999751,0,0.61049,0.35602,36.629,0.712,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,700.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
9,7616.651,2757.534,-154.433,-67.320,0.385739,0.922592,0.005480,-0.922434,0.385544,0.021714,0.017920,-0.013430,0.999749,0,0.61049,0.35602,36.629,0.712,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,700.000,725.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
10,7631.193,2723.915,-153.782,-66.608,0.397172,0.917730,0.005045,-0.917565,0.396980,0.021937,0.018130,-0.013341,0.999747,0,0.61049,0.35602,36.629,0.712,-1,375.000,-1,375.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,700.000,725.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
11,7646.152,2690.480,-153.114,-65.896,0.408545,0.912726,0.004636,-0.912553,0.408354,0.022236,0.018403,-0.013315,0.999742,0,0.61049,0.35602,36.629,0.712,-1,375.000,-1,375.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,700.000,725.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
12,7661.525,2657.233,-152.392,-65.184,0.419859,0.907579,0.004329,-0.907394,0.419664,0.022757,0.018837,-0.013483,0.999732,0,0.61049,0.35602,36.629,0.712,-1,375.000,-1,375.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,700.000,725.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
