timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag,throttle_cmd,steering_cmd,cmd_move_cm,cmd_turn_deg,lidar_cm_0,lidar_cm_1,lidar_cm_2,lidar_cm_3,lidar_cm_4,lidar_cm_5,lidar_cm_6,lidar_cm_7,lidar_cm_8,lidar_cm_9,lidar_cm_10,lidar_cm_11,lidar_cm_12,lidar_cm_13,lidar_cm_14,lidar_cm_15,lidar_cm_16,lidar_class_0,lidar_class_1,lidar_class_2,lidar_class_3,lidar_class_4,lidar_class_5,lidar_class_6,lidar_class_7,lidar_class_8,lidar_class_9,lidar_class_10,lidar_class_11,lidar_class_12,lidar_class_13,lidar_class_14,lidar_class_15,lidar_class_16
0,-4129.828,1712.361,-166.498,-60.547,0.491675,0.870646,0.015215,-0.870704,0.491786,-0.004488,-0.011390,-0.011041,0.999874,0,0.35157,-0.53200,0.219,-0.009,-1,574.840,-1,453.753,13.923,447.588,413.879,476.698,589.758,-1,-1,-1,-1,892.808,666.764,-1,27.665,2,0,2,0,1,0,0,0,0,2,2,2,2,0,0,2,1
1,-4129.756,1712.141,-164.101,-60.567,0.491373,0.870820,0.014988,-0.870882,0.491476,-0.003958,-0.010813,-0.011108,0.999880,0,0.35157,-0.53200,0.231,-0.020,-1,580.703,-1,459.221,-1,452.138,418.674,483.184,597.206,-1,-1,-1,-1,903.987,677.976,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
2,-4129.496,1711.508,-162.868,-60.587,0.491085,0.871001,0.013886,-0.871063,0.491163,-0.002748,-0.009214,-0.010746,0.999900,0,0.35157,-0.53200,0.685,-0.020,-1,585.909,-1,463.550,-1,455.898,422.506,488.193,600.179,-1,-1,-1,-1,915.664,687.896,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
3,-4129.076,1710.478,-162.797,-60.609,0.490757,0.871216,0.011880,-0.871269,0.490804,-0.001247,-0.006917,-0.009738,0.999929,0,0.35157,-0.53200,1.112,-0.022,-1,590.066,-1,466.193,-1,458.514,424.959,490.896,598.141,-1,-1,-1,-1,926.792,695.147,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
4,-4128.526,1709.058,-163.774,-60.627,0.490489,0.871401,0.008985,-0.871437,0.490508,0.000177,-0.004253,-0.007916,0.999960,0,0.35157,-0.53200,1.523,-0.018,-1,592.983,-1,466.821,-1,459.815,425.816,492.021,591.047,-1,-1,-1,-1,936.899,698.700,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
5,-4127.817,1707.210,-165.557,-60.638,0.490330,0.871522,0.005152,-0.871536,0.490329,0.001609,-0.001124,-0.005279,0.999985,0,0.35157,-0.53200,1.979,-0.011,-1,595.368,-1,466.035,9.925,460.324,425.609,492.887,579.743,-1,-1,-1,-1,947.888,699.784,-1,8.837,2,0,2,0,1,0,0,0,0,2,2,2,2,0,0,2,1
6,-4126.930,1704.948,-167.840,-60.643,0.490244,0.871585,0.000403,-0.871582,0.490241,0.003064,0.002473,-0.001854,0.999995,0,0.35157,-0.53200,2.430,-0.006,-1,597.875,-1,464.449,14.257,460.555,424.881,494.256,565.333,-1,1002.928,-1,-1,960.918,699.599,-1,25.515,2,0,2,0,1,0,0,0,0,2,0,2,2,0,0,2,1
7,-4125.846,1702.287,-170.298,-60.645,0.490212,0.871588,-0.005181,-0.871578,0.490234,0.004637,0.006582,0.002243,0.999976,0,0.35157,-0.53200,2.873,-0.002,-1,601.258,-1,462.827,14.401,461.181,424.282,496.660,549.174,-1,960.892,984.794,-1,978.418,699.723,-1,24.908,2,0,2,0,1,0,0,0,0,2,0,0,2,0,0,2,1
8,-4124.559,1699.266,-172.587,-60.640,0.490264,0.871503,-0.011134,-0.871505,0.490346,0.006350,0.010994,0.006590,0.999918,0,0.35157,-0.53200,3.284,0.005,-1,605.718,-1,461.764,14.573,462.459,424.248,500.249,533.324,-1,920.046,936.919,-1,999.327,701.277,-1,24.334,2,0,2,0,1,0,0,0,0,2,0,0,2,0,0,2,1
9,-4123.088,1696.057,-174.189,-60.624,0.490495,0.871316,-0.014919,-0.871334,0.490633,0.007483,0.013839,0.009329,0.999861,0,0.35157,-0.53200,3.531,0.016,-1,607.800,-1,460.448,14.720,462.676,423.638,502.419,522.921,-1,894.200,909.051,-1,-1,701.412,-1,23.935,2,0,2,0,1,0,0,0,0,2,0,0,2,2,0,2,1
