timestep,x_cm,y_cm,z_cm,yaw_deg,teleport_flag,throttle_cmd,steering_cmd,cmd_move_cm,cmd_turn_deg,lidar_cm_0,lidar_cm_1,lidar_cm_2,lidar_cm_3,lidar_cm_4,lidar_cm_5,lidar_cm_6,lidar_cm_7,lidar_cm_8,lidar_cm_9,lidar_cm_10,lidar_cm_11,lidar_cm_12,lidar_cm_13,lidar_cm_14,lidar_cm_15,lidar_cm_16,lidar_class_0,lidar_class_1,lidar_class_2,lidar_class_3,lidar_class_4,lidar_class_5,lidar_class_6,lidar_class_7,lidar_class_8,lidar_class_9,lidar_class_10,lidar_class_11,lidar_class_12,lidar_class_13,lidar_class_14,lidar_class_15,lidar_class_16
0,5488.267,-3438.755,109.979,-158.963,1,0.08000,-0.12000,9.600,-1.080,-1,400.000,-1,375.000,-1,325.000,300.000,425.000,325.000,-1,-1,-1,-1,825.000,725.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
2,5442.365,-3452.730,108.876,-164.363,0,0.24000,-0.36000,28.800,-3.240,-1,400.000,-1,400.000,-1,325.000,325.000,400.000,325.000,-1,-1,-1,-1,825.000,725.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
4,5356.968,-3465.215,106.749,-174.083,0,0.40000,-0.60000,48.000,-5.400,-1,400.000,-1,400.000,-1,300.000,325.000,400.000,325.000,-1,-1,-1,-1,800.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
6,5232.845,-3455.154,103.196,-188.123,0,0.56000,-0.84000,67.200,-7.560,-1,375.000,-1,400.000,-1,325.000,325.000,375.000,300.000,-1,-1,-1,-1,725.000,725.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
8,5080.416,-3398.001,97.374,-204.378,0,0.72000,-0.90308,86.400,-8.128,-1,375.000,-1,375.000,-1,300.000,300.000,350.000,300.000,-1,-1,-1,-1,725.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
10,4919.317,-3277.643,88.203,-220.634,0,0.88000,-0.90308,105.600,-8.128,-1,375.000,-1,400.000,-1,325.000,325.000,325.000,275.000,-1,-1,-1,-1,875.000,825.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
12,4783.523,-3098.576,80.478,-236.889,0,0.93875,-0.90308,112.650,-8.128,-1,425.000,-1,450.000,-1,350.000,350.000,300.000,300.000,-1,-1,-1,-1,1000.000,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,2,2,2
14,4703.240,-2888.174,70.091,-253.195,0,0.94270,-0.90867,113.124,-8.178,-1,375.000,-1,400.000,-1,300.000,325.000,350.000,275.000,-1,-1,-1,-1,725.000,800.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
16,4686.434,-2655.241,52.017,-270.072,0,0.98881,-0.94561,118.657,-8.511,-1,400.000,-1,425.000,800.000,325.000,325.000,325.000,275.000,-1,-1,-1,-1,750.000,775.000,-1,950.000,2,0,2,0,0,0,0,0,0,2,2,2,2,0,1,2,1
18,4740.136,-2422.020,32.955,-287.267,0,1.00000,-0.95554,120.000,-8.600,-1,425.000,-1,350.000,450.000,350.000,325.000,300.000,250.000,-1,-1,-1,-1,700.000,525.000,-1,525.000,2,0,2,0,0,0,0,0,0,2,2,2,2,0,0,2,0
20,4859.533,-2214.552,12.104,-304.069,0,1.00000,-0.92185,120.000,-8.297,725.000,325.000,575.000,225.000,200.000,250.000,225.000,300.000,250.000,-1,-1,-1,-1,450.000,350.000,600.000,200.000,0,1,1,0,0,0,0,0,0,2,2,2,2,1,0,1,0
22,5031.167,-2047.533,3.788,-319.530,0,1.00000,-0.83309,120.000,-7.498,325.000,275.000,725.000,300.000,-1,250.000,250.000,250.000,350.000,375.000,0.000,0.000,-1,350.000,550.000,300.000,-1,1,1,1,0,2,1,0,0,0,0,0,0,2,1,0,1,2
24,5237.684,-1925.943,17.794,-332.596,0,1.00000,-0.68536,120.000,-6.168,150.000,250.000,-1,400.000,-1,250.000,300.000,300.000,350.000,575.000,25.000,0.000,825.000,375.000,-1,175.000,-1,1,1,2,0,2,1,0,1,0,0,0,0,0,1,2,1,2
26,5463.208,-1844.369,44.280,-342.310,0,1.00000,-0.48782,120.000,-4.390,150.000,350.000,-1,475.000,-1,350.000,375.000,225.000,325.000,875.000,200.000,25.000,525.000,525.000,-1,250.000,-1,1,1,2,0,2,1,0,1,0,0,0,0,0,1,2,1,2
28,5697.144,-1791.103,70.853,-348.623,0,1.00000,-0.32225,120.000,-2.900,125.000,325.000,-1,425.000,-1,325.000,350.000,150.000,275.000,-1,750.000,675.000,850.000,-1,-1,175.000,-1,1,1,2,0,2,1,0,1,0,2,0,0,0,2,2,1,2
30,5916.094,-1763.614,88.963,-354.343,0,0.88024,-0.31954,105.629,-2.876,50.000,425.000,-1,525.000,-1,400.000,400.000,125.000,300.000,-1,-1,-1,-1,-1,-1,75.000,-1,1,1,2,0,2,1,0,1,0,2,2,2,2,2,2,1,2
32,-2374.087,2975.243,-144.032,-166.040,1,0.00000,0.00000,104.429,-2.099,825.000,325.000,-1,375.000,-1,300.000,300.000,275.000,300.000,-1,475.000,500.000,-1,575.000,675.000,-1,-1,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2
34,-2401.700,2967.074,-144.851,-162.800,0,0.16000,0.24000,19.200,2.160,725.000,325.000,-1,375.000,-1,275.000,300.000,275.000,300.000,-1,525.000,550.000,-1,575.000,675.000,-1,-1,0,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2
36,-2463.556,2940.934,-146.417,-155.240,0,0.32000,0.48000,38.400,4.320,-1,350.000,-1,375.000,-1,300.000,300.000,325.000,275.000,-1,325.000,150.000,-1,625.000,650.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2
38,-2553.529,2885.795,-147.191,-146.516,0,0.48000,0.48466,57.600,4.362,-1,350.000,-1,375.000,-1,300.000,300.000,325.000,275.000,-1,225.000,100.000,-1,675.000,675.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2
40,-2663.515,2793.007,-146.401,-137.825,0,0.64000,0.48167,76.800,4.335,-1,375.000,-1,375.000,-1,300.000,300.000,325.000,275.000,-1,175.000,100.000,-1,775.000,700.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2
42,-2783.637,2655.919,-142.534,-129.178,0,0.80000,0.48038,96.000,4.323,-1,400.000,-1,400.000,-1,325.000,325.000,325.000,300.000,-1,200.000,150.000,-1,-1,950.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,2,2,0,2,2
44,-2902.390,2469.962,-134.120,-120.476,0,0.96000,0.48466,115.200,4.362,-1,450.000,-1,500.000,-1,375.000,375.000,325.000,325.000,-1,250.000,275.000,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,2,2,2,2,2
46,-2996.375,2258.206,-124.531,-111.752,0,0.96602,0.48466,115.922,4.362,-1,450.000,-1,450.000,-1,350.000,350.000,375.000,300.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
48,-3057.155,2034.644,-121.639,-103.029,0,0.96602,0.48466,115.922,4.362,-1,525.000,-1,500.000,-1,400.000,400.000,400.000,300.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
50,-3083.324,1804.450,-118.907,-94.305,0,0.96602,0.48466,115.922,4.362,-1,625.000,-1,550.000,-1,450.000,450.000,450.000,300.000,-1,-1,-1,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,2,2,2,2
52,-3074.277,1572.951,-121.527,-85.581,0,0.96602,0.48466,115.922,4.362,-1,400.000,-1,375.000,825.000,325.000,325.000,450.000,300.000,-1,-1,-1,-1,725.000,600.000,-1,875.000,2,0,2,0,0,0,0,0,0,2,2,2,2,0,0,2,0
54,-3030.221,1345.501,-139.414,-76.857,0,0.96602,0.48466,115.922,4.362,-1,375.000,-1,350.000,725.000,300.000,300.000,400.000,300.000,-1,-1,-1,-1,675.000,575.000,-1,750.000,2,0,2,0,0,0,0,0,0,2,2,2,2,0,0,2,0
56,-2952.178,1127.365,-156.809,-68.133,0,0.96602,0.48466,115.922,4.362,-1,325.000,-1,300.000,550.000,275.000,250.000,325.000,300.000,-1,-1,-1,-1,600.000,500.000,950.000,550.000,2,0,2,0,0,0,0,0,0,2,2,2,2,0,0,0,0
58,-2841.953,923.590,-168.542,-59.409,0,0.96602,0.48466,115.922,4.362,-1,425.000,-1,400.000,950.000,350.000,325.000,300.000,275.000,-1,0.000,0.000,-1,775.000,675.000,-1,-1,2,0,2,0,0,0,0,0,0,2,0,0,2,0,0,2,2
60,-2709.189,744.363,-171.314,-51.765,0,0.89344,0.36466,107.213,3.282,-1,400.000,-1,375.000,825.000,325.000,325.000,300.000,300.000,-1,250.000,450.000,-1,700.000,650.000,-1,1000.000,2,0,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0
62,-2568.526,582.535,-175.551,-48.442,0,0.89344,0.12466,107.213,1.122,-1,350.000,-1,350.000,650.000,300.000,300.000,300.000,275.000,-1,-1,-1,-1,600.000,575.000,-1,775.000,2,0,2,0,0,0,0,0,0,2,2,2,2,0,0,2,0
64,-2427.626,420.912,-182.102,-49.438,0,0.89344,-0.11534,107.213,-1.038,-1,300.000,-1,300.000,450.000,250.000,250.000,300.000,250.000,-1,-1,-1,-1,525.000,500.000,-1,525.000,2,0,2,0,0,0,0,0,0,2,2,2,2,0,0,2,0
66,-2299.095,249.382,-186.081,-54.754,0,0.89344,-0.35534,107.213,-3.198,-1,450.000,-1,425.000,-1,350.000,350.000,300.000,225.000,-1,0.000,0.000,950.000,-1,850.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,0,2,0,2,2
68,-2197.585,60.772,-179.326,-64.390,0,0.89344,-0.59534,107.213,-5.358,-1,450.000,-1,375.000,650.000,350.000,325.000,275.000,250.000,-1,150.000,125.000,-1,-1,700.000,-1,-1,2,0,2,0,0,0,0,0,0,2,0,0,2,2,0,2,2
70,-2135.191,-144.091,-176.687,-75.951,0,0.89344,-0.64229,107.213,-5.781,-1,450.000,-1,325.000,425.000,325.000,300.000,300.000,250.000,-1,425.000,450.000,-1,975.000,550.000,-1,475.000,2,0,2,0,0,0,0,0,0,2,0,0,2,0,0,2,0
72,-2115.120,-357.301,-175.410,-87.513,0,0.89344,-0.64229,107.213,-5.781,-1,475.000,-1,325.000,-1,350.000,300.000,300.000,275.000,-1,0.000,25.000,-1,975.000,625.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,2,0,0,2,2
74,-2138.188,-570.209,-166.325,-99.074,0,0.89344,-0.64229,107.213,-5.781,-1,425.000,-1,375.000,-1,325.000,300.000,325.000,325.000,750.000,25.000,150.000,-1,825.000,725.000,-1,-1,2,0,2,0,2,0,0,0,0,0,0,0,2,0,0,2,2
76,-2203.457,-774.173,-152.411,-110.635,0,0.89344,-0.64229,107.213,-5.781,-1,425.000,-1,475.000,-1,350.000,350.000,375.000,400.000,625.000,0.000,150.000,-1,975.000,-1,-1,-1,2,0,2,0,2,0,0,0,0,0,0,0,2,0,2,2,2
78,-2304.983,-952.353,-131.580,-123.261,0,0.81600,-0.76143,97.920,-6.853,-1,500.000,-1,425.000,-1,375.000,350.000,500.000,300.000,-1,450.000,400.000,-1,-1,-1,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,2,2,2,2,2
