timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag,throttle_cmd,steering_cmd,cmd_move_cm,cmd_turn_deg,lidar_cm_0,lidar_cm_1,lidar_cm_2,lidar_cm_3,lidar_cm_4,lidar_cm_5,lidar_cm_6,lidar_cm_7,lidar_cm_8,lidar_cm_9,lidar_cm_10,lidar_cm_11,lidar_cm_12,lidar_cm_13,lidar_cm_14,lidar_cm_15,lidar_cm_16,lidar_class_0,lidar_class_1,lidar_class_2,lidar_class_3,lidar_class_4,lidar_class_5,lidar_class_6,lidar_class_7,lidar_class_8,lidar_class_9,lidar_class_10,lidar_class_11,lidar_class_12,lidar_class_13,lidar_class_14,lidar_class_15,lidar_class_16
0,3604.839,-9507.109,-187.418,125.507,-0.580874,-0.813984,0.003840,0.813662,-0.580766,-0.025781,0.023215,-0.011851,0.999660,1,0.08000,0.12000,4.800,0.240,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,725.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
1,3599.215,-9499.329,-187.186,125.858,-0.585849,-0.810411,0.003893,0.810092,-0.585741,-0.025656,0.023072,-0.011877,0.999663,0,0.16000,0.17549,9.600,0.351,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,700.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
2,3590.709,-9487.710,-186.811,126.209,-0.590802,-0.806807,0.003945,0.806489,-0.590695,-0.025593,0.022978,-0.011939,0.999665,0,0.24000,0.17549,14.400,0.351,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,700.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
3,3579.272,-9472.288,-186.312,126.560,-0.595732,-0.803173,0.004022,0.802857,-0.595626,-0.025506,0.022881,-0.011966,0.999667,0,0.32000,0.17549,19.200,0.351,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,700.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
4,3564.858,-9453.098,-185.686,126.911,-0.600640,-0.799509,0.004125,0.799195,-0.600535,-0.025402,0.022786,-0.011960,0.999669,0,0.40000,0.17549,24.000,0.351,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,700.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
5,3547.420,-9430.177,-184.931,127.262,-0.605524,-0.795816,0.004257,0.795503,-0.605421,-0.025287,0.022701,-0.011926,0.999671,0,0.48000,0.17549,28.800,0.351,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,700.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
6,3526.913,-9403.561,-184.055,127.613,-0.610384,-0.792093,0.004469,0.791781,-0.610286,-0.025173,0.022667,-0.011826,0.999673,0,0.56000,0.17549,33.600,0.351,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,700.000,725.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
7,3503.291,-9373.286,-183.133,127.964,-0.615213,-0.788344,0.005145,0.788027,-0.615130,-0.025071,0.022929,-0.011370,0.999672,0,0.64000,0.17549,38.400,0.351,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,700.000,725.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
8,3476.508,-9339.391,-182.082,128.315,-0.620018,-0.784565,0.005912,0.784243,-0.619951,-0.024984,0.023267,-0.010854,0.999670,0,0.72000,0.17549,43.200,0.351,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,700.000,725.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
9,3446.518,-9301.913,-180.897,128.666,-0.624797,-0.780758,0.006774,0.780427,-0.624749,-0.024924,0.023692,-0.010286,0.999666,0,0.80000,0.17549,48.000,0.351,-1,375.000,-1,375.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,700.000,725.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
10,3414.111,-9261.918,-179.604,129.017,-0.629552,-0.776920,0.007712,0.776582,-0.629524,-0.024904,0.024204,-0.009689,0.999660,0,0.85793,0.17549,51.476,0.351,-1,375.000,-1,375.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,700.000,725.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
11,3381.460,-9222.123,-178.254,129.368,-0.634283,-0.773053,0.008631,0.772701,-0.634274,-0.025095,0.024874,-0.009248,0.999648,0,0.85793,0.17549,51.476,0.351,-1,375.000,-1,375.000,-1,325.000,325.000,300.000,300.000,-1,-1,-1,-1,700.000,725.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
12,3348.566,-9182.529,-176.855,129.719,-0.638987,-0.769156,0.009702,0.768788,-0.639001,-0.025337,0.025688,-0.008731,0.999632,0,0.85793,0.17549,51.476,0.351,-1,375.000,-1,375.000,-1,300.000,325.000,300.000,300.000,-1,-1,-1,-1,675.000,725.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
13,3315.430,-9143.136,-175.407,130.070,-0.643663,-0.765231,0.010927,0.764845,-0.643704,-0.025628,0.026645,-0.008139,0.999612,0,0.85793,0.17549,51.476,0.351,-1,375.000,-1,375.000,-1,300.000,325.000,300.000,300.000,-1,-1,-1,-1,675.000,725.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
14,3282.053,-9103.948,-173.929,130.421,-0.648312,-0.761277,0.012202,0.760872,-0.648383,-0.025968,0.027680,-0.007551,0.999588,0,0.85793,0.17549,51.476,0.351,-1,375.000,-1,375.000,-1,300.000,325.000,300.000,300.000,-1,-1,-1,-1,675.000,700.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
15,3248.436,-9064.965,-172.462,130.772,-0.652936,-0.757293,0.013491,0.756861,-0.653036,-0.026567,0.028929,-0.007136,0.999556,0,0.85793,0.17549,51.476,0.351,-1,375.000,-1,375.000,-1,300.000,325.000,300.000,300.000,-1,-1,-1,-1,675.000,700.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,2
16,3214.582,-9026.188,-170.976,131.123,-0.657532,-0.753280,0.014826,0.752817,-0.657665,-0.027261,0.030286,-0.006764,0.999518,0,0.85793,0.17549,51.476,0.351,-1,375.000,-1,375.000,-1,300.000,300.000,325.000,300.000,-1,-1,1000.000,-1,675.000,700.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,0,2,0,0,2,2
17,3180.490,-8987.620,-169.366,131.474,-0.662111,-0.749238,0.015835,0.748745,-0.662267,-0.027973,0.031445,-0.006664,0.999483,0,0.85793,0.17549,51.476,0.351,-1,375.000,-1,375.000,-1,300.000,300.000,325.000,300.000,-1,-1,900.000,-1,675.000,700.000,-1,-1,2,0,2,0,2,0,0,0,0,2,2,0,2,0,0,2,2
