timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag,throttle_cmd,steering_cmd,cmd_move_cm,cmd_turn_deg,lidar_cm_0,lidar_cm_1,lidar_cm_2,lidar_cm_3,lidar_cm_4,lidar_cm_5,lidar_cm_6,lidar_cm_7,lidar_cm_8,lidar_cm_9,lidar_cm_10,lidar_cm_11,lidar_cm_12,lidar_cm_13,lidar_cm_14,lidar_cm_15,lidar_cm_16,lidar_class_0,lidar_class_1,lidar_class_2,lidar_class_3,lidar_class_4,lidar_class_5,lidar_class_6,lidar_class_7,lidar_class_8,lidar_class_9,lidar_class_10,lidar_class_11,lidar_class_12,lidar_class_13,lidar_class_14,lidar_class_15,lidar_class_16
0,3673.364,78.569,54.778,153.844,-0.897567,-0.440844,0.005460,0.440811,-0.897578,-0.006198,0.007633,-0.003156,0.999966,0,0.33172,-0.76500,0.433,0.004,-1,540.661,-1,467.410,-1,421.274,405.917,616.426,524.949,-1,-1,-1,-1,946.159,661.928,-1,942.782,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,0
1,3673.354,78.955,54.585,153.855,-0.897649,-0.440646,0.007568,0.440620,-0.897681,-0.004823,0.008919,-0.000994,0.999960,0,0.33173,-0.76500,0.386,0.012,-1,543.752,-1,467.781,-1,422.829,406.705,620.861,519.584,-1,-1,-1,-1,957.459,662.829,-1,944.135,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,0
2,3672.887,79.433,53.412,153.859,-0.897662,-0.440579,0.009621,0.440548,-0.897714,-0.005243,0.010947,-0.000468,0.999940,0,0.33168,-0.76500,0.668,0.004,-1,544.806,-1,467.844,-1,423.187,406.765,619.009,515.251,-1,-1,-1,-1,964.859,664.046,-1,949.466,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,0
3,3672.018,79.891,51.570,153.866,-0.897691,-0.440501,0.010450,0.440443,-0.897750,-0.007467,0.012671,-0.002101,0.999918,0,0.33164,-0.76500,0.982,0.006,-1,542.401,-1,467.022,-1,421.535,405.533,609.784,513.531,-1,-1,-1,-1,962.388,664.156,-1,954.618,2,0,2,0,2,0,0,0,0,2,2,2,2,0,0,2,0
4,3670.772,80.373,49.623,153.869,-0.897708,-0.440476,0.010076,0.440380,-0.897751,-0.010448,0.013648,-0.004942,0.999895,0,0.33156,-0.76500,1.336,0.004,13.957,537.538,-1,465.354,14.043,418.450,403.309,597.059,514.010,-1,-1,-1,-1,951.940,662.781,27.378,26.365,1,0,2,0,1,0,0,0,0,2,2,2,2,0,0,1,1
5,3669.198,80.932,48.015,153.871,-0.897722,-0.440475,0.008749,0.440348,-0.897728,-0.013376,0.013746,-0.008155,0.999872,0,0.33146,-0.76500,1.670,0.002,13.948,531.533,-1,463.134,14.054,414.718,400.584,584.363,516.246,-1,-1,-1,-1,936.916,660.116,27.460,26.666,1,0,2,0,1,0,0,0,0,2,2,2,2,0,0,1,1
6,3667.331,81.645,47.018,153.872,-0.897735,-0.440480,0.007050,0.440339,-0.897697,-0.015572,0.013188,-0.010875,0.999854,0,0.33135,-0.76500,1.999,0.001,13.960,525.935,-1,460.804,14.041,411.261,397.953,574.774,519.389,-1,-1,-1,-1,922.046,656.803,27.357,26.752,1,0,2,0,1,0,0,0,0,2,2,2,2,0,0,1,1
7,3665.177,82.578,46.721,153.871,-0.897737,-0.440497,0.005585,0.440359,-0.897667,-0.016663,0.012353,-0.012500,0.999846,0,0.33121,-0.76500,2.348,-0.001,13.984,521.945,-1,458.776,14.017,408.806,395.904,569.857,522.771,-1,-1,-1,-1,911.697,653.595,27.169,26.924,1,0,2,0,1,0,0,0,0,2,2,2,2,0,0,1,1
8,3662.735,83.754,47.049,153.868,-0.897719,-0.440544,0.004638,0.440417,-0.897637,-0.016724,0.011531,-0.012971,0.999849,0,0.33107,-0.76500,2.711,-0.003,14.019,519.916,-1,457.282,13.981,407.590,394.628,569.454,525.471,-1,-1,-1,-1,906.516,651.018,26.904,27.189,1,0,2,0,1,0,0,0,0,2,2,2,2,0,0,1,1
9,3659.997,85.164,47.819,153.862,-0.897685,-0.440616,0.004284,0.440502,-0.897608,-0.016051,0.010918,-0.012522,0.999862,0,0.33090,-0.76500,3.079,-0.005,14.065,519.626,-1,456.336,13.937,407.482,394.062,572.475,527.428,-1,-1,-1,-1,905.863,649.252,26.587,27.551,1,0,2,0,1,0,0,0,0,2,2,2,2,0,0,1,1
10,3656.958,86.782,48.788,153.856,-0.897641,-0.440704,0.004411,0.440599,-0.897577,-0.015081,0.010605,-0.011594,0.999877,0,0.33072,-0.76500,3.443,-0.006,14.124,520.444,-1,455.800,13.883,408.094,393.969,576.966,528.943,-1,-1,-1,-1,908.805,648.221,26.223,28.040,1,0,2,0,1,0,0,0,0,2,2,2,2,0,0,1,1
