timestep,x_cm,y_cm,z_cm,yaw_deg,teleport_flag,throttle_cmd,steering_cmd,cmd_move_cm,cmd_turn_deg,lidar_cm_0,lidar_cm_1,lidar_cm_2,lidar_cm_3,lidar_cm_4,lidar_cm_5,lidar_cm_6,lidar_cm_7,lidar_cm_8,lidar_cm_9,lidar_cm_10,lidar_cm_11,lidar_cm_12,lidar_cm_13,lidar_cm_14,lidar_cm_15,lidar_cm_16,lidar_class_0,lidar_class_1,lidar_class_2,lidar_class_3,lidar_class_4,lidar_class_5,lidar_class_6,lidar_class_7,lidar_class_8,lidar_class_9,lidar_class_10,lidar_class_11,lidar_class_12,lidar_class_13,lidar_class_14,lidar_class_15,lidar_class_16
0,-8855.085,-5575.424,213.203,51.473,1,0.00000,0.00000,-4.800,-0.240,450.000,425.000,-1,400.000,450.000,350.000,325.000,300.000,275.000,-1,-1,-1,-1,625.000,575.000,525.000,525.000,1,1,2,0,1,0,0,0,0,2,2,2,2,1,1,1,1
1,-8852.079,-5571.681,213.380,51.233,0,0.08000,-0.12000,4.800,-0.240,450.000,425.000,-1,400.000,450.000,350.000,325.000,300.000,275.000,-1,-1,-1,-1,625.000,575.000,525.000,525.000,1,1,2,0,1,0,0,0,0,2,2,2,2,1,1,1,1
2,-8846.006,-5564.247,213.758,50.753,0,0.16000,-0.24000,9.600,-0.480,425.000,425.000,-1,400.000,425.000,350.000,325.000,300.000,275.000,-1,-1,-1,-1,625.000,550.000,525.000,500.000,1,1,2,0,1,0,0,0,0,2,2,2,2,1,1,1,1
3,-8836.756,-5553.210,214.358,50.033,0,0.24000,-0.36000,14.400,-0.720,425.000,400.000,-1,400.000,425.000,350.000,325.000,300.000,275.000,-1,-1,-1,-1,625.000,550.000,525.000,475.000,1,1,2,0,1,0,0,0,0,2,2,2,2,1,1,1,1
4,-8824.192,-5538.692,215.192,49.129,0,0.32000,-0.45201,19.200,-0.904,425.000,400.000,-1,400.000,400.000,350.000,325.000,300.000,275.000,-1,-1,-1,-1,650.000,525.000,525.000,450.000,1,1,2,0,1,0,0,0,0,2,2,2,2,1,1,1,1
5,-8808.206,-5520.791,216.237,48.234,0,0.40000,-0.44751,24.000,-0.895,400.000,400.000,-1,400.000,375.000,350.000,325.000,300.000,275.000,-1,-1,-1,-1,650.000,500.000,550.000,425.000,1,1,2,0,1,0,0,0,0,2,2,2,2,1,1,1,1
6,-8788.693,-5499.608,217.289,47.350,0,0.48000,-0.44224,28.800,-0.884,400.000,400.000,-1,400.000,350.000,350.000,325.000,300.000,275.000,-1,-1,-1,-1,700.000,475.000,550.000,400.000,1,1,2,1,1,0,0,0,0,2,2,2,2,1,1,1,1
7,-8765.555,-5475.245,218.488,46.477,0,0.56000,-0.43613,33.600,-0.872,375.000,400.000,-1,375.000,325.000,325.000,325.000,300.000,275.000,-1,-1,-1,-1,825.000,450.000,600.000,375.000,1,1,2,1,1,0,0,0,0,2,2,2,2,1,1,1,1
8,-8738.697,-5447.800,219.865,45.619,0,0.64000,-0.42912,38.400,-0.858,375.000,400.000,-1,350.000,300.000,325.000,325.000,300.000,275.000,-1,-1,-1,-1,-1,425.000,-1,350.000,1,1,2,1,1,0,0,0,0,2,2,2,2,2,1,2,1
9,-8708.031,-5417.372,221.414,44.777,0,0.72000,-0.42112,43.200,-0.842,350.000,375.000,-1,325.000,275.000,325.000,325.000,300.000,275.000,-1,-1,-1,-1,1000.000,400.000,-1,300.000,1,1,2,1,1,0,0,0,0,2,2,2,2,1,1,2,1
10,-8673.475,-5384.057,223.122,43.953,0,0.80000,-0.41206,48.000,-0.824,350.000,400.000,-1,300.000,225.000,325.000,325.000,300.000,275.000,-1,-1,-1,-1,1000.000,375.000,-1,250.000,1,1,2,1,1,1,1,0,0,2,2,2,2,1,1,2,1
11,-8634.954,-5347.947,224.974,43.149,0,0.88000,-0.40186,52.800,-0.804,325.000,400.000,-1,275.000,200.000,325.000,275.000,300.000,275.000,-1,-1,-1,-1,975.000,325.000,-1,200.000,1,1,2,1,1,1,1,0,0,2,2,2,2,1,1,2,1
12,-8592.397,-5309.131,230.252,42.368,0,0.96000,-0.39045,57.600,-0.781,750.000,475.000,-1,250.000,150.000,350.000,275.000,275.000,300.000,-1,-1,-1,-1,975.000,300.000,-1,175.000,1,1,2,1,1,1,1,1,0,2,2,2,2,1,1,2,1
13,-8548.120,-5269.803,240.557,41.612,0,0.98703,-0.37779,59.222,-0.756,850.000,500.000,-1,250.000,150.000,350.000,250.000,250.000,325.000,-1,-1,-1,-1,-1,300.000,-1,175.000,1,1,2,1,1,1,1,1,1,2,2,2,2,2,1,2,1
14,-8502.754,-5230.896,250.311,40.617,0,0.99608,-0.49779,59.765,-0.996,900.000,525.000,-1,250.000,150.000,350.000,250.000,225.000,300.000,750.000,175.000,450.000,-1,-1,300.000,-1,175.000,1,1,2,1,1,1,1,1,1,0,0,0,2,2,1,2,1
15,-8456.401,-5192.799,259.459,39.417,0,1.00000,-0.59996,60.000,-1.200,925.000,550.000,-1,250.000,150.000,350.000,250.000,200.000,300.000,500.000,100.000,275.000,-1,-1,300.000,-1,175.000,1,1,2,1,1,1,1,1,1,0,0,0,2,2,1,2,1
