timestep,x_cm,y_cm,z_cm,yaw_deg,teleport_flag,throttle_cmd,steering_cmd,cmd_move_cm,cmd_turn_deg,lidar_cm_0,lidar_cm_1,lidar_cm_2,lidar_cm_3,lidar_cm_4,lidar_cm_5,lidar_cm_6,lidar_cm_7,lidar_cm_8,lidar_cm_9,lidar_cm_10,lidar_cm_11,lidar_cm_12,lidar_cm_13,lidar_cm_14,lidar_cm_15,lidar_cm_16,lidar_class_0,lidar_class_1,lidar_class_2,lidar_class_3,lidar_class_4,lidar_class_5,lidar_class_6,lidar_class_7,lidar_class_8,lidar_class_9,lidar_class_10,lidar_class_11,lidar_class_12,lidar_class_13,lidar_class_14,lidar_class_15,lidar_class_16
0,-17958.509,-5392.476,-302.569,78.949,0,0.08000,0.12000,4.800,0.240,-1,600.000,-1,250.000,150.000,375.000,275.000,250.000,525.000,375.000,25.000,225.000,-1,-1,400.000,-1,175.000,2,0,2,1,1,1,1,0,1,0,0,0,2,2,1,2,1
1,-17956.748,-5383.039,-302.268,79.429,0,0.16000,0.24000,9.600,0.480,-1,625.000,-1,275.000,150.000,375.000,275.000,250.000,500.000,375.000,25.000,225.000,-1,-1,400.000,-1,175.000,2,0,2,1,1,1,1,0,1,0,0,0,2,2,1,2,1
2,-17954.284,-5368.851,-301.838,80.149,0,0.24000,0.36000,14.400,0.720,-1,625.000,-1,275.000,150.000,375.000,275.000,250.000,475.000,350.000,25.000,225.000,-1,-1,425.000,-1,175.000,2,0,2,1,1,1,1,0,1,0,0,0,2,2,1,2,1
3,-17951.317,-5349.882,-301.311,81.109,0,0.32000,0.48000,19.200,0.960,-1,625.000,-1,300.000,150.000,400.000,300.000,250.000,425.000,325.000,25.000,225.000,-1,-1,450.000,-1,150.000,2,0,2,1,1,1,1,0,1,0,0,0,2,2,1,2,1
4,-17948.105,-5326.098,-300.731,82.309,0,0.40000,0.60000,24.000,1.200,-1,650.000,-1,300.000,150.000,425.000,325.000,225.000,375.000,300.000,25.000,225.000,-1,-1,500.000,-1,150.000,2,0,2,1,1,1,1,0,1,0,0,0,2,2,1,2,1
5,1639.831,2295.763,-144.852,-9.669,1,0.00000,0.00000,28.800,1.253,275.000,400.000,-1,425.000,-1,400.000,375.000,375.000,225.000,400.000,175.000,375.000,675.000,700.000,750.000,375.000,-1,1,1,2,0,2,0,0,1,0,1,1,1,1,1,0,1,2
6,-2951.695,-2295.763,-256.636,-83.278,1,0.00000,0.00000,4.800,-0.240,-1,375.000,-1,375.000,-1,325.000,325.000,300.000,300.000,-1,750.000,700.000,800.000,700.000,650.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,1,0,0,2,2
7,-2951.153,-2300.532,-256.563,-83.518,0,0.08000,-0.12000,4.800,-0.240,-1,375.000,-1,375.000,-1,325.000,325.000,300.000,300.000,-1,750.000,700.000,800.000,700.000,650.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,1,0,0,2,2
8,-2950.149,-2310.079,-256.418,-83.998,0,0.16000,-0.24000,9.600,-0.480,-1,375.000,-1,375.000,-1,325.000,325.000,300.000,300.000,-1,750.000,675.000,800.000,700.000,650.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,1,0,0,2,2
9,-2948.823,-2324.418,-256.208,-84.718,0,0.24000,-0.36000,14.400,-0.720,-1,375.000,-1,375.000,-1,325.000,325.000,300.000,300.000,-1,725.000,650.000,825.000,700.000,650.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,1,0,0,2,2
10,-2947.376,-2343.564,-255.938,-85.678,0,0.32000,-0.48000,19.200,-0.960,-1,375.000,-1,375.000,-1,325.000,325.000,300.000,300.000,-1,700.000,650.000,850.000,700.000,650.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,1,0,0,2,2
11,-2946.069,-2367.528,-255.618,-86.878,0,0.40000,-0.60000,24.000,-1.200,-1,375.000,-1,375.000,-1,325.000,325.000,300.000,300.000,-1,625.000,625.000,875.000,700.000,650.000,-1,-1,2,0,2,0,2,0,0,0,0,2,0,0,1,0,0,2,2
12,-2945.143,-2396.313,-255.259,-88.157,0,0.48000,-0.63955,28.800,-1.279,-1,375.000,-1,375.000,1000.000,325.000,325.000,300.000,300.000,-1,575.000,600.000,900.000,700.000,650.000,-1,-1,2,0,2,0,1,0,0,0,0,2,0,0,1,0,0,2,2
13,-2944.811,-2429.911,-254.867,-89.435,0,0.56000,-0.63910,33.600,-1.278,-1,375.000,-1,375.000,975.000,325.000,325.000,300.000,300.000,-1,525.000,550.000,925.000,700.000,650.000,-1,-1,2,0,2,0,1,0,0,0,0,2,0,0,1,0,0,2,2
14,-2945.288,-2468.308,-254.447,-90.712,0,0.64000,-0.63857,38.400,-1.277,-1,375.000,-1,375.000,950.000,325.000,325.000,300.000,300.000,-1,475.000,525.000,950.000,700.000,650.000,-1,-1,2,0,2,0,1,0,0,0,0,2,0,0,1,0,0,2,2
15,-2946.787,-2511.482,-254.005,-91.988,0,0.72000,-0.63793,43.200,-1.276,-1,375.000,-1,375.000,900.000,325.000,325.000,300.000,300.000,-1,425.000,500.000,950.000,700.000,650.000,-1,-1,2,0,2,0,1,0,0,0,0,2,0,0,1,0,0,2,2
16,-2949.518,-2559.405,-253.543,-93.262,0,0.80000,-0.63715,48.000,-1.274,-1,375.000,-1,375.000,875.000,325.000,325.000,300.000,300.000,-1,375.000,450.000,975.000,700.000,675.000,-1,-1,2,0,2,0,1,0,0,0,0,2,0,0,1,0,0,2,2
17,-2953.692,-2612.039,-252.908,-94.534,0,0.88000,-0.63619,52.800,-1.272,-1,375.000,-1,375.000,850.000,325.000,300.000,300.000,300.000,-1,350.000,425.000,1000.000,725.000,675.000,-1,-1,2,0,2,0,1,0,0,0,0,2,0,0,1,0,0,2,2
18,-2959.458,-2668.754,-251.334,-95.805,0,0.95011,-0.63502,57.007,-1.270,-1,375.000,-1,375.000,800.000,325.000,300.000,300.000,300.000,-1,375.000,450.000,1000.000,725.000,675.000,-1,-1,2,0,2,0,1,0,0,0,0,2,0,0,1,0,0,2,2
19,-2966.462,-2725.211,-249.440,-97.072,0,0.94817,-0.63358,56.890,-1.267,-1,400.000,-1,375.000,775.000,325.000,300.000,300.000,300.000,-1,400.000,475.000,-1,725.000,675.000,-1,-1,2,0,2,0,1,0,0,0,0,2,0,0,2,0,0,2,2
20,-2974.693,-2781.392,-247.581,-98.336,0,0.94635,-0.63197,56.781,-1.264,-1,400.000,-1,375.000,750.000,325.000,300.000,300.000,300.000,-1,425.000,500.000,-1,725.000,675.000,-1,-1,2,0,2,0,1,0,0,0,0,2,0,0,2,0,0,2,2
21,-2984.142,-2837.279,-245.755,-99.596,0,0.94467,-0.63020,56.680,-1.260,-1,400.000,-1,375.000,700.000,325.000,300.000,300.000,300.000,-1,450.000,500.000,-1,750.000,700.000,-1,-1,2,0,2,0,1,0,0,0,0,2,0,0,2,0,0,2,2
22,-2994.796,-2892.855,-243.957,-100.853,0,0.94313,-0.62826,56.588,-1.257,-1,400.000,-1,375.000,675.000,325.000,300.000,300.000,300.000,-1,475.000,525.000,-1,750.000,700.000,-1,-1,2,0,2,0,1,0,0,0,0,2,0,0,2,0,0,2,2
