iso_time_utc,elapsed_s,step_idx,rover_pos_x,rover_pos_y,rover_pos_z,heading,pitch,roll,lidar_00_front_left_wheel_hub_yaw_p30_yaw_30_pitch_0_cm_is_obstacle,lidar_01_front_left_frame_yaw_p20_pitch_n20_yaw_20_pitch_-20_cm_is_obstacle,lidar_02_front_center_frame_forward_yaw_0_pitch_0_cm_is_obstacle,lidar_03_front_right_frame_yaw_n20_pitch_n20_yaw_-20_pitch_-20_cm_is_obstacle,lidar_04_front_right_wheel_hub_yaw_n30_yaw_-30_pitch_0_cm_is_obstacle,lidar_05_front_left_frame_pitch_n25_yaw_0_pitch_-25_cm_is_obstacle,lidar_06_front_right_frame_pitch_n25_yaw_0_pitch_-25_cm_is_obstacle,lidar_07_left_mid_frame_left_pitch_n20_yaw_90_pitch_-20_cm_is_obstacle,lidar_08_right_mid_frame_right_pitch_n20_yaw_-90_pitch_-20_cm_is_obstacle,lidar_09_rear_left_wheel_hub_back_yaw_p40_yaw_140_pitch_0_cm_is_obstacle,lidar_10_rear_left_frame_backward_yaw_180_pitch_0_cm_is_obstacle,lidar_11_rear_right_frame_backward_yaw_180_pitch_0_cm_is_obstacle,lidar_12_rear_right_wheel_hub_back_yaw_n40_yaw_-140_pitch_0_cm_is_obstacle,lidar_13_front_left_frame_yaw_p20_pitch_n10_yaw_20_pitch_-10_cm_is_obstacle,lidar_14_front_right_frame_yaw_n20_pitch_n10_yaw_-20_pitch_-10_cm_is_obstacle,lidar_15_front_left_wheel_hub_yaw_p15_yaw_15_pitch_0_cm_is_obstacle,lidar_16_front_right_wheel_hub_yaw_n15_yaw_-15_pitch_0_cm_is_obstacle
2026-03-21T16:07:39Z,246.593,847,-5657.399902,-10045.400391,1438.599976,30.300001,-7.8,-13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:39Z,246.850,848,-5657.399902,-10045.400391,1438.599976,30.300001,-7.8,-13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:39Z,247.112,849,-5657.700195,-10045.799805,1438.700073,36.700001,-15.400001,-25.800001,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:39Z,247.353,850,-5657.700195,-10045.799805,1438.700073,36.700001,-15.400001,-25.800001,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:40Z,247.590,851,-5657.700195,-10045.799805,1438.700073,36.700001,-15.400001,-25.800001,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:40Z,247.857,852,-5657.700195,-10045.799805,1438.700073,36.700001,-15.400001,-25.800001,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:40Z,248.153,853,-5658,-10046,1438.700073,34.5,-11.6,-17.200001,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:40Z,248.408,854,-5658,-10046,1438.700073,34.5,-11.6,-17.200001,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:41Z,248.674,855,-5658,-10046,1438.700073,34.5,-11.6,-17.200001,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:41Z,248.935,856,-5658.200195,-10046.200195,1438.5,29.300001,-4,-6.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:41Z,249.159,857,-5658.200195,-10046.200195,1438.5,29.300001,-4,-6.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:41Z,249.401,858,-5658.200195,-10046.200195,1438.5,29.300001,-4,-6.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:42Z,249.667,859,-5658.200195,-10046.200195,1438.5,29.300001,-4,-6.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:42Z,249.936,860,-5658.200195,-10046.200195,1438.5,29.300001,-4,-6.6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:42Z,250.248,861,-5658.5,-10046.5,1438.599976,26,-10.5,-8.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2026-03-21T16:07:42Z,250.505,862,-5658.5,-10046.5,1438.599976,26,-10.5,-8.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2026-03-21T16:07:43Z,250.774,863,-5658.5,-10046.5,1438.599976,26,-10.5,-8.8,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0
2026-03-21T16:07:43Z,251.038,864,-5658.700195,-10046.700195,1438.700073,22.5,-12.2,-11.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:43Z,251.275,865,-5658.700195,-10046.700195,1438.700073,22.5,-12.2,-11.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:43Z,251.542,866,-5658.700195,-10046.700195,1438.700073,22.5,-12.2,-11.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:44Z,251.776,867,-5658.700195,-10046.700195,1438.700073,22.5,-12.2,-11.1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:44Z,252.042,868,-5658.899902,-10046.900391,1438.700073,19.1,-10.5,-7.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:44Z,252.282,869,-5658.899902,-10046.900391,1438.700073,19.1,-10.5,-7.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:45Z,252.546,870,-5658.899902,-10046.900391,1438.700073,19.1,-10.5,-7.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:45Z,252.819,871,-5658.899902,-10046.900391,1438.700073,19.1,-10.5,-7.8,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
2026-03-21T16:07:45Z,253.078,872,-5659,-10047.100586,1438.5,15.900001,-6.7,-4.4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
