timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag,throttle_cmd,steering_cmd,cmd_move_cm,cmd_turn_deg,lidar_cm_0,lidar_cm_1,lidar_cm_2,lidar_cm_3,lidar_cm_4,lidar_cm_5,lidar_cm_6,lidar_cm_7,lidar_cm_8,lidar_cm_9,lidar_cm_10,lidar_cm_11,lidar_cm_12,lidar_cm_13,lidar_cm_14,lidar_cm_15,lidar_cm_16,lidar_class_0,lidar_class_1,lidar_class_2,lidar_class_3,lidar_class_4,lidar_class_5,lidar_class_6,lidar_class_7,lidar_class_8,lidar_class_9,lidar_class_10,lidar_class_11,lidar_class_12,lidar_class_13,lidar_class_14,lidar_class_15,lidar_class_16
0,-2956.163,-2297.528,70.160,-158.475,-0.928024,0.366678,-0.065707,-0.368165,-0.929687,0.011711,-0.056793,0.035059,0.997770,1,0.08000,-0.12000,4.800,-0.240,975.000,400.000,650.000,400.000,-1,325.000,325.000,325.000,325.000,-1,625.000,525.000,-1,575.000,625.000,725.000,-1,1,0,1,1,2,0,0,0,0,2,0,0,2,1,1,1,2
1,-2965.123,-2300.975,69.541,-158.955,-0.931065,0.358884,-0.065733,-0.360353,-0.932743,0.011650,-0.057132,0.034534,0.997769,0,0.16000,-0.24000,9.600,-0.480,950.000,400.000,650.000,375.000,-1,325.000,325.000,325.000,325.000,-1,625.000,550.000,-1,575.000,650.000,700.000,-1,1,0,1,1,2,0,0,0,0,2,0,0,2,1,1,1,2
2,-2978.626,-2305.976,68.613,-159.675,-0.935500,0.347144,-0.065805,-0.348590,-0.937204,0.011576,-0.057654,0.033768,0.997765,0,0.24000,-0.36000,14.400,-0.720,900.000,400.000,650.000,375.000,-1,325.000,325.000,325.000,325.000,-1,650.000,550.000,-1,550.000,650.000,675.000,-1,1,0,1,1,2,0,0,0,0,2,0,0,2,1,1,1,2
3,-2996.740,-2312.343,67.376,-160.635,-0.941181,0.331403,-0.065958,-0.332822,-0.942919,0.011511,-0.058378,0.032786,0.997756,0,0.32000,-0.48000,19.200,-0.960,825.000,400.000,625.000,375.000,-1,325.000,325.000,325.000,325.000,-1,700.000,575.000,-1,525.000,675.000,650.000,-1,1,0,1,1,2,0,0,0,0,2,0,0,2,1,1,1,2
4,-3019.545,-2319.824,65.833,-161.835,-0.947903,0.311596,-0.066237,-0.312985,-0.949689,0.011485,-0.059326,0.031618,0.997738,0,0.40000,-0.60000,24.000,-1.200,775.000,400.000,600.000,375.000,-1,325.000,325.000,325.000,325.000,-1,750.000,625.000,-1,500.000,700.000,600.000,-1,1,0,1,1,2,0,1,0,0,2,0,0,2,1,1,1,2
5,-3047.127,-2328.112,63.984,-163.275,-0.955413,0.287643,-0.066695,-0.289004,-0.957258,0.011541,-0.060524,0.030301,0.997707,0,0.48000,-0.72000,28.800,-1.440,675.000,375.000,600.000,375.000,-1,325.000,300.000,300.000,325.000,-1,850.000,675.000,-1,450.000,775.000,550.000,-1,1,1,1,1,2,1,1,0,0,2,0,0,2,1,1,1,2
6,-3079.575,-2336.833,61.832,-164.955,-0.963399,0.259466,-0.067384,-0.260804,-0.965320,0.011731,-0.062003,0.028876,0.997658,0,0.56000,-0.84000,33.600,-1.680,600.000,350.000,575.000,375.000,-1,300.000,300.000,300.000,325.000,-1,975.000,775.000,-1,425.000,850.000,500.000,-1,1,1,1,1,2,1,1,0,0,2,0,0,2,1,0,1,2
7,-3116.945,-2345.670,59.387,-166.695,-0.970778,0.230045,-0.068327,-0.231375,-0.972789,0.012126,-0.063678,0.027581,0.997589,0,0.64000,-0.86996,38.400,-1.740,500.000,325.000,550.000,400.000,-1,275.000,300.000,300.000,325.000,-1,-1,900.000,-1,375.000,850.000,425.000,-1,1,1,1,1,2,1,1,0,0,2,2,0,2,1,0,1,2
8,-3159.264,-2354.351,56.656,-168.406,-0.977139,0.200907,-0.069534,-0.202250,-0.979251,0.012772,-0.065525,0.026543,0.997498,0,0.72000,-0.85537,43.200,-1.711,425.000,275.000,550.000,400.000,-1,250.000,275.000,300.000,325.000,-1,-1,-1,-1,350.000,850.000,375.000,-1,1,1,1,0,2,1,1,0,0,2,2,2,2,1,0,1,2
9,-3206.547,-2362.617,53.638,-170.083,-0.982506,0.172158,-0.071016,-0.173538,-0.984732,0.013703,-0.067573,0.025788,0.997381,0,0.80000,-0.83876,48.000,-1.678,350.000,250.000,525.000,400.000,-1,225.000,275.000,300.000,325.000,-1,-1,-1,-1,300.000,825.000,300.000,-1,1,1,1,0,2,1,1,0,0,2,2,2,2,1,0,1,2
