timestep,x_cm,y_cm,z_cm,yaw_deg,basis_xx,basis_xy,basis_xz,basis_yx,basis_yy,basis_yz,basis_zx,basis_zy,basis_zz,teleport_flag,throttle_cmd,steering_cmd,cmd_move_cm,cmd_turn_deg,lidar_cm_0,lidar_cm_1,lidar_cm_2,lidar_cm_3,lidar_cm_4,lidar_cm_5,lidar_cm_6,lidar_cm_7,lidar_cm_8,lidar_cm_9,lidar_cm_10,lidar_cm_11,lidar_cm_12,lidar_cm_13,lidar_cm_14,lidar_cm_15,lidar_cm_16,lidar_class_0,lidar_class_1,lidar_class_2,lidar_class_3,lidar_class_4,lidar_class_5,lidar_class_6,lidar_class_7,lidar_class_8,lidar_class_9,lidar_class_10,lidar_class_11,lidar_class_12,lidar_class_13,lidar_class_14,lidar_class_15,lidar_class_16
0,7543.531,-323.175,4.142,85.372,0.078661,-0.990232,-0.115118,0.996746,0.080161,-0.008455,0.017601,-0.114079,0.993316,1,0.08000,-0.12000,4.800,-0.240,-1,500.000,-1,300.000,200.000,425.000,300.000,275.000,450.000,650.000,150.000,325.000,-1,925.000,400.000,-1,225.000,2,0,2,1,1,0,1,0,0,0,0,0,2,0,1,2,1
1,7544.383,-313.612,4.432,84.892,0.086683,-0.989245,-0.117812,0.996036,0.088429,-0.009666,0.019980,-0.116507,0.992989,0,0.16000,-0.24000,9.600,-0.480,-1,500.000,-1,300.000,200.000,425.000,300.000,275.000,450.000,625.000,150.000,300.000,-1,950.000,400.000,-1,225.000,2,0,2,1,1,0,1,0,0,0,0,0,2,0,1,2,1
2,7545.842,-299.285,4.900,84.172,0.098670,-0.987614,-0.121998,0.994840,0.100807,-0.011460,0.023617,-0.120237,0.992464,0,0.24000,-0.36000,14.400,-0.720,-1,500.000,-1,300.000,200.000,425.000,300.000,250.000,475.000,600.000,150.000,300.000,-1,950.000,400.000,-1,225.000,2,0,2,1,1,1,1,0,0,0,0,0,2,0,1,2,1
3,7548.105,-280.217,5.583,83.212,0.114561,-0.985155,-0.127850,0.993005,0.117265,-0.013802,0.028589,-0.125375,0.991697,0,0.32000,-0.48000,19.200,-0.960,-1,500.000,-1,275.000,200.000,425.000,300.000,250.000,475.000,575.000,125.000,275.000,-1,975.000,400.000,-1,200.000,2,0,2,1,1,1,1,0,1,0,0,0,2,1,1,2,1
4,7551.433,-256.447,6.533,82.012,0.134262,-0.981623,-0.135607,0.990327,0.137750,-0.016629,0.035004,-0.132063,0.990623,0,0.40000,-0.60000,24.000,-1.200,-1,525.000,-1,275.000,200.000,425.000,300.000,250.000,475.000,525.000,100.000,275.000,-1,975.000,400.000,-1,200.000,2,0,2,1,1,1,1,0,1,0,0,0,2,1,1,2,1
5,7556.140,-228.031,7.817,80.572,0.157637,-0.976708,-0.145573,0.986561,0.162185,-0.019844,0.042992,-0.140488,0.989149,0,0.48000,-0.72000,28.800,-1.440,-1,525.000,-1,275.000,175.000,400.000,275.000,250.000,475.000,475.000,100.000,250.000,-1,950.000,400.000,-1,200.000,2,0,2,1,1,1,1,0,1,0,0,0,2,1,1,2,1
6,7562.600,-195.053,9.517,78.892,0.184493,-0.970032,-0.158117,0.981420,0.190455,-0.023292,0.052708,-0.150882,0.987146,0,0.56000,-0.84000,33.600,-1.680,-1,550.000,-1,275.000,175.000,400.000,275.000,250.000,500.000,425.000,75.000,250.000,-1,950.000,400.000,-1,175.000,2,0,2,1,1,1,1,0,1,0,0,0,2,1,1,2,1
7,7571.240,-157.632,11.732,76.972,0.214561,-0.961145,-0.173674,0.974590,0.222394,-0.026740,0.064325,-0.163524,0.984440,0,0.64000,-0.96000,38.400,-1.920,-1,575.000,-1,250.000,175.000,375.000,275.000,250.000,550.000,375.000,75.000,225.000,-1,925.000,400.000,-1,175.000,2,0,2,1,1,1,1,0,1,0,0,0,2,1,1,2,1
8,7582.420,-115.896,14.566,74.972,0.244831,-0.950260,-0.192517,0.966437,0.255121,-0.030219,0.077831,-0.178657,0.980828,0,0.72000,-1.00000,43.200,-2.000,1000.000,600.000,-1,250.000,150.000,375.000,275.000,225.000,600.000,325.000,50.000,200.000,-1,900.000,400.000,-1,175.000,1,1,2,1,1,1,1,0,1,0,0,0,2,1,1,2,1
9,3607.616,-6887.283,-67.061,163.956,-0.956512,-0.276356,-0.093342,0.274070,-0.961008,0.036744,-0.099857,0.009564,0.994956,1,0.00000,0.00000,48.000,-2.000,-1,375.000,-1,400.000,-1,325.000,325.000,300.000,325.000,525.000,-1,-1,-1,700.000,750.000,-1,-1,2,0,2,0,2,0,0,0,0,1,2,2,2,0,0,2,2
